"id","video_title","video_owner","video_duration","video_likes","video_view_count","bundle_id","poi_id"
"740","TOP 10 Things to do in Bristol, England 2023!","The Travel Boss","355","14","1829","14","39"
"741","Bristol England Travel Guide: 15 BEST Things To Do In Bristol, UK","Before You Go","649","204","24677","14","39"
"742","BRISTOL 🇬🇧 4K Drone Aerial | United Kingdom England","Polychronis Drone","724","190","16635","14","39"
"743","BATH & BRISTOL // Things to do (and avoid!) in England","Matt & Shelby","1174","295","17430","14","39"
"744","THE UK'S COOLEST CITY? (Bristol)","Lost In Transit","829","1000","28339","14","39"
"745","[4K] Bristol UK, City Centre Walking Tour.","Living Walks","1131","1123","118627","14","39"
"746","24 Best Things to do in Bristol, UK","The Intrepid Guide","1008","6045","283401","14","39"
"747","Bristol City UK Visit | City Centre Aerial View 4K.","Travel The World","125","26","1654","14","39"
"748","BRISTOL 4K Drone 🇬🇧 | England UNITED KINGDOM","Polychronis Drone","242","182","15472","14","39"
"749","Onde morar em BRISTOL no UK? BRISTOL: Uma das maiores cidades da Inglaterra!","Leticia Marim","840","103","2028","14","39"
"750","University of Bristol | England | UK - 4k","UK PLACES","392","276","28329","14","39"
"751","British Food - BEST FOOD MARKET IN BRISTOL! + Exploring The City (Bristol, England)","The Endless Adventure","918","3848","197302","14","39"
"752","Americans FIRST TIME DRIVING In UK! (Bristol, England to Cotswolds - Road Trip Part 1)","The Endless Adventure","791","4470","331257","14","39"
"753","Bristol City Centre Walking Tour | England, UK","Urban Walking Experience","995","337","28635","14","39"
"754","🌎 Clifton | Bristol | UK","Travelling Bazaar","176","24","1760","14","39"
"755","Clifton, Bristol, UK What to see in 1 Day - Town to Clifton Suspension Bridge","Living Walks","1409","732","38178","14","39"
"756","Walking in BRISTOL / England (UK) 🇬🇧- 4K 60fps (UHD)","POPtravel","3361","1401","92122","14","39"
"757","Bristol After Saturday Midnight/UK Nightlife/England Nightlife 2023","DanWalks ","488","73","9003","14","39"
"758","How to find hidden gems in Bristol, UK | Visit Bristol | Vlog","InduKhuranaVlogs","720","108","5702","14","39"
"759","A walk through BRISTOL - England - City Center","AD Travel","2274","350","20770","14","39"
"760","Visit Bristol - The official tourist guide to Bristol","Visit Bristol","136","2067","339872","14","39"
"761","BRISTOL CITY TOUR - ENGLAND | TOUR DE LA VILLE DE BRISTOL - ANGLETTERRE","Babsicals City","595","646","64295","14","39"
"762","Bristol 4K - England Sunday - Driving Downtown","J Utah","1474","1563","83779","14","39"
"763","Studying, working and living in BRISTOL (UK)","Solo Ann","726","931","68944","14","39"
"764","BRISTOL CITY CENTRE, UK WALKING TOUR [4K]","Go With Cheese","815","42","2877","14","39"
"765","Bristol! The UK's Most Shocking ""NO-GO"" Zone 🇬🇧","Backpacker Ben","1342","5384","157599","14","39"
"766","Full Video: Bristol, England, UK - 4K Bristol City Centre Walking Tour and Travel Guide, Summer 2023","Fragile Rovers","10105","0","34607","14","39"
"767","Bristol City Centre 4K Walking Tour 2023 | Historic Past and Modern Marvels, UK","Welcome Abroad","2712","176","10608","14","39"
"768","Top 10 Places to Visit in Bristol | England - English","Apricot Wanderers","280","157","20119","14","39"
"769","Bath (England) Complete Travel Guide - Roman Baths, Bath Abbey, Thermae Spa Rooftop Pool & More","Ultimate Bucket List","1161","1953","124525","14","40"
"770","Bath, Somerset, UK City centre walking tour","Living Walks","2139","310","25434","14","40"
"771","24hrs in BATH - Is this England's Prettiest City!? (UK Travel Vlog)","CJ Explores","947","562","17642","14","40"
"772","48 Hours in Bath, UK: A Cosy Weekend Trip From London","Jess Ellis","482","133","5257","14","40"
"773","Bath, UK, Walking Tour","denniscallan","846","131","4322","14","40"
"774","What to See and Do in Bath, England - 3 Day Travel Vlog (Complete Guide to Bath!)","Daniela Azzip Trips","952","269","12749","14","40"
"775","TOP 10 Things to do in Bath, England 2023!","The Travel Boss","341","19","2483","14","40"
"776","BATH NA INGLATERRA: a maldição dos banhos romanos + roteiro e dicas","Apure Guria!","778","1630","17332","14","40"
"777","Best Things to Do in Bath, England","ViewCation","529","236","33355","14","40"
"778","What to do in Bath, UK for 1 day (travel vlog) 🍂🌿","Wee","477","112","3701","14","40"
"779","How to have the Perfect Day in Bath, England","Flying The Nest","798","3260","180193","14","40"
"780","Top 10 Places to Visit in Bath, Somerset | England - English","Apricot Wanderers","282","135","17351","14","40"
"781","Living and Working in Bath, UK 🏛","Solo Ann","850","420","23982","14","40"
"782","Must See BATH ENGLAND! Tour of Amazing Food & History","The Magic Geekdom","877","2562","81300","14","40"
"783","[4K] BATH ENGLAND Walking Tour | Full Tour of Bath UK - Roman Baths, The Abbey & Royal Crescent","Gimbal Walk TV","2246","411","23046","14","40"
"784","BATH & BRISTOL // Things to do (and avoid!) in England","Matt & Shelby","1174","295","17430","14","40"
"785","We Visit Bath Christmas Market - One Of The UK's BEST?! 🎅🏼","JJ Extra","532","152","4839","14","40"
"786","[4K] Bath England Walking Tour - River Avon, Roman Baths & Royal Crescent","Living Walks","1620","1081","100452","14","40"
"787","BATH CITY ENGLAND","Solotraveller","251","960","136851","14","40"
"788","We Found The UK’s BEST Christmas Market! 🎄 Mulled Wine, Sausages, Donuts and MORE! (Bath, England)","The Endless Adventure","810","7248","88645","14","40"
"789","Bath, England 🇬🇧  | 4K Drone Footage","ALL in 4K","263","167","6343","14","40"
"790","Walking in Bath, England - Historic Bath Abbey, Roman Baths & more! | 4K | Sep 2020","Watched Walker","4272","1121","56945","14","40"
"791","Bath, England - Georgian City of Bath - Walk History and Guide to Bath","MemorySeekers","2394","3387","152465","14","40"
"792","How to visit Bath COMPLETELY? - Top things to do IN and AROUND Bath, UK","Svenywhere: Travel Exploration","429","432","45372","14","40"
"793","Visit Bath - What to See & Do in Bath, England","Wolters World","699","1951","127136","14","40"
"794","2 Days in BATH, UK VLOG | Roman Baths, Thermae Bath Spa, Hiking, Cafes, Royal Crescent","Suitcase Monkey","826","9749","457867","14","40"
"795","Top 5 Reasons NOT To Move To Cardiff","Nurture Mind","191","56","14602","14","41"
"796","Cardiff - Complete Travel Guide to the Welsh Capital - Wales City Tour (Bucket List) 🏴󠁧󠁢󠁷󠁬󠁳󠁿","Ultimate Bucket List","949","2626","152396","14","41"
"797","Walking in CARDIFF / Wales (UK) 🏴󠁧󠁢󠁷󠁬󠁳󠁿 - 4K 60fps (UHD)","POPtravel","3241","2486","195896","14","41"
"798","Cardiff Wales Travel Guide: 12 BEST Things To Do In Cardiff, UK","Before You Go","621","161","17796","14","41"
"799","TOP 10 Things to do in Cardiff, Wales 2023!","The Travel Boss","296","101","12919","14","41"
"800","Walking Inside Cardiff Market | Cardiff Market Walking Tour 4K | WALES, UK 🇬🇧","Walk With Mamun","454","10","1514","14","41"
"801","Cardiff  / Capital City of Wales / . UK city tour .","Nat Nata","614","214","1679","14","41"
"802","Cardiff City Centre, Wales, United Kingdom 🇬🇧 4K Walking Tour of Downtown Cardiff","Fragile Rovers","2709","0","10178","14","41"
"803","Cardiff After Saturday Midnight 2 / UK Nightlife / England Nightlife","DanWalks ","401","2171","414446","14","41"
"804","Cardiff City Centre walking tour","Walking777","4595","75","5308","14","41"
"805","Explore the City of Cardiff Wales UK 4K","THE GLOBAL EXPLORER","1279","3","86","14","41"
"806","THE UK CAPITALS CHALLENGE: Edinburgh, Belfast, Cardiff, London. All by different modes of transport","SteveMarsh","2385","7953","256514","14","41"
"807","Cardiff | 10 Great Things To Do in the Capital City of Wales","AlexTravels","427","629","34699","14","41"
"808","CARDIFF 🏴󠁧󠁢󠁷󠁬󠁳󠁿 Drone Aerial 4K | Wales United Kingdom UK 🇬🇧","Polychronis Drone","677","30","1123","14","41"
"809","Cardiff, Wales United Kingdom UK 2022 by Drone [4K] -Cardiff City Tour 2022","Global Town","249","84","8654","14","41"
"810","Cardiff Uk - the capital of Wales","UK JOURNEYS ","408","13","632","14","41"
"811","10 Best Student Accommodations in Cardiff | UK | amber","Stay With Amber ","342","102","8257","14","41"
"812","Americans First Time in Wales! Exploring Cardiff","The Magic Geekdom","793","1770","65734","14","41"
"813","CARDIFF - The Capital of Wales, UK | A Day in the Life of Cardiff","Global Navigator","337","74","6126","14","41"
"814","My Visit to Cardiff Bay Cardiff City UK","Samuel Rex","1621","8","153","14","41"
"815","Explore the Cardiff Market, Cardiff Wales UK 4K","THE GLOBAL EXPLORER","713","2","116","14","41"
"816","Pontypridd | Cardiff | UK | Travel ඉත්තෑවෝ - Travel Guide","Travel Ittaawo - Travel ඉත්තෑවෝ","1014","518","12322","14","41"
"817","Places to see in ( Cardiff - UK )","places to see in","145","3","534","14","41"
"818","Living in Cardiff | a tour of Cardiff Bay South Wales, United Kingdom","Ucceey","441","100","6368","14","41"
"819","UK market Vlog | Cardiff Market | sea food in Cardiff city| Uk travel Vlog #marketvlog #cardiff","Ucceey","393","63","3019","14","41"
"820","CARDIFF 🏴󠁧󠁢󠁷󠁬󠁳󠁿 Drone Aerial 4K | Wales United Kingdom UK 🇬🇧","Polychronis Drone","153","86","9194","14","41"
"821","CARDIFF, WALES🏴󠁧󠁢󠁷󠁬󠁳󠁿, UK 🇬🇧 | WALKING TOUR CITY CENTRE","City Pearls Walking Tours","3162","203","17979","14","41"
"822","CARDIFF WALES | Full tour of Cardiff City Centre with views of Cardiff Castle | 4K Walking Tour","Gimbal Walk TV","1567","1999","124926","14","41"
"823","Exeter City Centre! (2023) #EXETER #EXETERCITYCENTRE","Vermilion Studios","731","44","3603","14","42"
"824","The Essential Travel Guide to Shopping and Dining in Exeter UK","Snapshot Travel Guide ","326","35","2325","14","42"
"825","Top 10 Places to Visit in Exeter | United Kingdom - English","Apricot Wanderers","259","228","26178","14","42"
"826","Exeter Quayside Devon UK | Guided Walking Tour with Natural Sounds","Living Walks","970","173","10217","14","42"
"827","Exeter City, UK |Guided Walking Tour with Natural Sounds","Living Walks","1052","543","41802","14","42"
"828","EXETER 4K Drone 🇬🇧 | England UNITED KINGDOM","Polychronis Drone","248","145","8641","14","42"
"829","Things to see in Exeter So much more than the University in this history filled city...","Last seen somewhere","412","261","16637","14","42"
"830","Vobes Explores - Exeter in Devon","Richard Vobes","614","1037","97823","14","42"
"831","Places to see in ( Exeter - UK )","places to see in","135","7","2821","14","42"
"832","Best Restaurants and Places to Eat in Exeter, UK","Best Places to Eat","172","57","1152","14","42"
"833","How much will 20pound get you in Exeter Devon","Rex Rules","121","32","599","14","42"
