id,is_liked,user_id,video_id,bundle_id
545,1,1,750,14
546,-1,1,749,14
547,1,1,745,14
548,1,1,748,14
549,0,1,761,14
550,1,1,746,14
551,0,1,756,14
552,1,1,792,14
553,1,1,791,14
554,1,1,772,14
555,-1,1,803,14
556,0,1,806,14
557,-1,1,798,14
558,1,2,899,15
559,0,2,883,15
560,-1,2,884,15
561,1,1,812,14
562,1,2,889,15
563,1,1,802,14
564,0,2,882,15
565,-1,2,895,15
566,1,1,821,14
567,1,2,890,15
568,-1,1,831,14
569,1,1,843,14
570,0,2,893,15
571,0,2,880,15
572,0,1,848,14
573,0,1,847,14
574,1,2,905,15
575,0,2,910,15
576,-1,1,863,14
577,0,1,859,14
578,-1,1,872,14
579,1,2,920,15
580,-1,1,874,14
581,1,2,919,15
582,1,5,754,14
583,1,5,767,14
584,0,5,768,14
585,0,2,906,15
586,0,5,743,14
587,1,2,912,15
588,-1,5,761,14
589,1,2,904,15
590,0,2,913,15
591,0,5,757,14
592,0,2,914,15
593,1,2,934,15
594,1,5,742,14
595,1,2,933,15
596,0,2,951,15
597,-1,5,769,14
598,1,5,770,14
599,-1,2,938,15
600,0,2,946,15
601,0,5,780,14
602,0,5,776,14
603,1,2,930,15
604,1,5,792,14
605,1,2,937,15
606,1,5,796,14
607,1,2,975,15
608,1,2,955,15
609,0,5,822,14
610,-1,2,965,15
611,1,2,968,15
612,1,5,810,14
613,0,2,977,15
614,1,5,828,14
615,0,2,972,15
616,0,2,969,15
617,0,5,844,14
618,0,2,964,15
619,1,2,976,15
620,-1,5,842,14
621,0,2,978,15
622,0,5,829,14
623,0,2,984,15
624,1,2,994,15
625,-1,2,989,15
626,1,2,999,15
627,0,2,991,15
628,0,2,980,15
629,-1,2,995,15
630,0,1,889,15
631,0,2,988,15
632,0,1,896,15
633,0,1,881,15
634,1,2,1018,15
635,1,2,1006,15
636,1,2,1004,15
637,-1,2,1001,15
638,0,2,1011,15
639,1,2,1009,15
640,-1,2,1003,15
641,0,2,1019,15
642,-1,1,887,15
643,0,2,1010,15
644,1,1,897,15
645,0,1,886,15
646,-1,2,1034,15
647,-1,2,1026,15
648,1,1,895,15
649,0,2,1033,15
650,-1,2,1031,15
651,0,2,1025,15
652,1,2,1028,15
653,1,1,905,15
654,1,2,1022,15
655,1,1,921,15
656,0,2,1029,15
657,1,1,925,15
658,0,2,1030,15
659,1,1,907,15
660,0,1,912,15
661,-1,2,1041,15
662,1,1,950,15
663,0,2,1048,15
664,1,2,1049,15
665,0,1,942,15
666,0,1,931,15
667,1,2,1035,15
668,1,2,1036,15
669,0,1,948,15
670,-1,2,1040,15
671,0,1,933,15
672,0,2,1038,15
673,1,2,1039,15
674,1,1,929,15
675,-1,2,1044,15
676,1,1,971,15
677,1,1,961,15
678,0,1,969,15
679,1,1,974,15
680,-1,3,1043,15
681,-1,3,1042,15
682,1,3,1038,15
683,0,3,1050,15
684,-1,3,1041,15
685,1,1,981,15
686,0,3,1045,15
687,0,3,1044,15
688,1,1,996,15
689,1,3,1049,15
690,0,3,1047,15
691,-1,3,1027,15
692,0,3,1021,15
693,1,1,990,15
694,0,3,1030,15
695,1,3,1022,15
696,0,1,985,15
697,-1,3,1024,15
698,0,3,1033,15
699,0,3,1034,15
700,-1,1,1007,15
701,1,3,1025,15
702,-1,3,1031,15
703,1,1,1011,15
704,1,1,1009,15
705,0,3,1010,15
706,-1,3,1002,15
707,1,1,1015,15
708,-1,3,1011,15
709,1,3,1019,15
710,0,1,1013,15
711,1,3,1009,15
712,-1,3,1003,15
713,0,3,1014,15
714,0,3,1013,15
715,0,1,1026,15
716,0,1,1034,15
717,1,3,987,15
718,1,1,1020,15
719,0,3,978,15
720,-1,1,1031,15
721,-1,3,995,15
722,1,3,986,15
723,1,1,1021,15
724,0,3,989,15
725,1,3,979,15
726,0,3,999,15
727,1,3,992,15
728,-1,3,957,15
729,0,3,977,15
730,1,3,968,15
731,0,3,959,15
732,0,1,1043,15
733,0,3,963,15
734,-1,1,1050,15
735,1,3,975,15
736,1,3,955,15
737,0,3,961,15
738,-1,3,969,15
739,0,3,934,15
740,1,3,929,15
741,-1,3,938,15
742,-1,3,946,15
743,1,3,941,15
744,0,3,937,15
745,1,3,950,15
746,0,3,953,15
747,1,3,909,15
748,1,3,907,15
749,0,3,919,15
750,0,3,912,15
751,1,3,913,15
752,0,3,910,15
753,-1,3,911,15
754,1,3,924,15
755,0,3,899,15
756,1,3,878,15
757,1,3,900,15
758,0,3,879,15
759,0,3,901,15
760,1,3,891,15
761,0,3,896,15
762,1,3,894,15
763,1,3,898,15
764,1,3,923,15
765,1,4,878,15
766,-1,4,880,15
767,0,4,888,15
768,0,4,883,15
